Name,Party,State,District,Start,Twitter
Andy Ogles,Republican Party,Tennessee,5,2023-01-03,RepOgles
John Rose,Republican Party,Tennessee,6,2019-01-03,RepJohnRose
Mark Green,Republican Party,Tennessee,7,2019-01-03,RepMarkGreen
David Kustoff,Republican Party,Tennessee,8,2017-01-03,RepDavidKustoff
Steve Cohen,Democratic Party,Tennessee,9,2007-01-03,RepCohen
Nathaniel Moran,Republican Party,Texas,1,2023-01-03,RepNateMoran
Daniel Crenshaw,Republican Party,Texas,2,2019-01-03,RepDanCrenshaw
Keith Self,Republican Party,Texas,3,2023-01-03,selfforcongress
Pat Fallon,Republican Party,Texas,4,2021-01-03,RepPatFallon
Lance Gooden,Republican Party,Texas,5,2019-01-03,Lancegooden
Jake Ellzey,Republican Party,Texas,6,2021-07-30,RepEllzey
Lizzie Pannill Fletcher,Democratic Party,Texas,7,2019-01-03,RepFletcher
Morgan Luttrell,Republican Party,Texas,8,2023-01-03,MLuttrellTX
